,station_code,capacity,station_name,latitude,longitude
228,8054,32.0,Bertie Albrecht - Hoche,48.87614039826388,2.301303138307601
229,8055,31.0,Courcelles - Place des Ternes,48.87819992892312,2.2992860188665043
230,8056,29.0,Beaujon - Wagram,48.875352455985,2.2964416444302
231,8057,33.0,Hoche - Tilsitt,48.874836457837,2.2971323132515
232,8102,40.0,Lamennais - Washington ,48.87352990026496,2.303444892168045
233,8103,37.0,Artois - Berri,48.87393521240818,2.3064258322119717
234,8105,31.0,François 1er - Lincoln,48.869517979344,2.3024262188416
235,8110,32.0,Gare Saint-Lazare - Stockholm,48.87712731666765,2.322417162358761
236,8117,42.0,Place de la Madeleine - Royale,48.869228052648,2.324421107769
237,8201,29.0,Arsène Houssaye - Friedland,48.874510616163,2.2994716674148
238,8202,27.0,Londres - Europe,48.878618556803,2.3248164693922
239,8203,35.0,Matignon - Faubourg Saint-Honoré,48.871499100264,2.3138961727427
240,8549,24.0,George V - Christophe Colomb,48.87046,2.30104
241,9001,17.0,Bellefond - Poissonnière,48.87759897050706,2.348463758826256
242,9002,14.0,Abbeville - Faubourg Poissonnière,48.879223,2.349147
243,9004,20.0,Gérando - Rochechouart,48.88294340845,2.3464846238494
244,9005,31.0,Square d'Anvers,48.882633484311,2.3448844062122
245,9006,10.0,Dunkerque - Trudaine,48.88215166773376,2.3463253676891327
246,9007,20.0,Condorcet - Turgot,48.87985155789093,2.345232367515564
247,9008,17.0,Tour d'Auvergne - Rodier,48.879161,2.343698
248,9009,21.0,Square Montholon,48.876620377545024,2.3457641154527664
249,9010,24.0,Rochechouart lamartine,48.876719895109,2.344393021854
250,9011,20.0,Geoffroy - Marie,48.873781940593325,2.344513876337893
251,9012,43.0,Rougemont - Poissonnière,48.87161156935476,2.345873080193996
252,9013,24.0,Mairie du 9ème,48.873267137583,2.3407534480528
253,9014,35.0,Faubourg Montmartre - La Fayette,48.875254549053,2.3408536612988
254,9015,32.0,Lamartine - Faubourg Montmartre,48.876613982891,2.3397656902671
255,9016,28.0,Choron - Martyrs,48.877851443503,2.3396701365709
256,9017,29.0,Lallier - Trudaine ,48.88109246617963,2.3408224806189537
257,9019,18.0,Victor Massé - Jean-Baptiste Pigalle,48.8811043724,2.3366955667734
258,9020,21.0,Toudouze - Clauzel,48.87929591733507,2.3373600840568547
259,9021,23.0,Saint Georges - d'Aumale,48.87778639599673,2.337429821491241
260,9022,32.0,Rossini - Laffitte,48.87334627510507,2.337980867701675
261,9023,33.0,Laffitte - Italiens,48.871815737396,2.3372015478451
262,9024,52.0,Taitbout - La Fayette,48.8733298892,2.3352625966072
263,9025,54.0,Taitbout - Châteaudun,48.876383969379,2.3353566779335
264,9026,17.0,Jean-Baptiste Pigalle - La Bruyere,48.87939826447722,2.333709173337285
265,9027,25.0,Douai - Pierre Fontaine,48.88229101148092,2.33324121683836
266,9028,17.0,Moncey - Blanche,48.88006587474148,2.3310810327529907
267,9029,39.0,Saint-Lazare - Place d'Estienne d'Orves,48.8768345,2.3329067
268,9031,26.0,Provence - Chaussée d'Antin,48.87428447542072,2.332976511564311
269,9032,36.0,Mathurins - Auber,48.872988840744,2.3294984212276
270,9034,22.0,Godot de Mauroy - Madeleine,48.869789,2.326347
271,9035,44.0,Gare Saint-Lazare - Place de Budapest,48.877753,2.327339
272,9036,20.0,Athènes - Clichy,48.878113787876,2.32956021945824
